	Text	GPT3stance
0	aveva appena fatto il vaccino anti influenzale  fonte certa 	 Neutral
1	blondet:il progetto ue  di  vaccinazione totale – in italiano    27	The tweet appears to be neutral towards vaccines.
2	"""i casi di infezioni e decessi sono in aumento""  ""in toscana si  registrato il pi grande focolaio mai visto al mondo per quanto concerne il batterio new delhi""  per il new delhi non c' cura e non c' vaccino, quindi, non c' nessuna emergenza. "	 Neutral
3	"500 testimonianze di danno da vaccino... ""il danno nascosto"" #vaccini #stragedistato "	 Discouraging towards vaccines
4	inizia tu a fare il vaccino.. barbara #noneladurso...io non lo faccio.	 Discouraging
5	cari genitori ignoranti, non avete pi scuse! salvate i vs. figli da questa carneficina, le informazioni ci sono e questa  la prova! #lorenzin &amp; co hanno venduto i ns. figli alle #bigpharma per testare i #vaccini, cavie null'altro che cavie da laboratorio. 	 Discouraging towards vaccines.
6	era il 28 settembre 2017 e l'onorevole ivan catalano presentava al ministro della sanit lorenzin un' interrogazione in merito al vaccino esavalente hinfanrix extra e alla morti in culla... naturalmente la signora non ha mai risposto ???? 	 Neutral
7	user si purtroppo, dopo la telefonata conte gates negli ospedali di mantova e pavia dove la terapia da immunoglobuline ha salvato diversi pazienti sono intervenuti i nas, pare quasi una minaccia a cure alternative se non al vaccino gates. qui gatta ci ha covato	 Discouraging towards vaccines
8	dopo il comprensibile dolore, spero che i parenti dei morti di covid 19 si facciano avanti per denunciare un eventuale nesso tra vaccino (anti meningite o influenza) e conseguente morte dei propri congiunti per covid 19. sarebbe di vitale importanza per salvare tante altre vite	 Discouraging towards vaccines.
9	interessante intervista ad un medico rianimatore che fa il punto della situazione sul #covid19: prevenzione, terapia, vaccino.   	 Neutral
10	"#vaccino per #pasqualino . ""s' fatto il vaccino e adesso sta male""  nessun problema ragazzi,nessun problema..... "	 Neutral
11	#polmonite interstiziale associata al #vaccino #influenzale 	 Neutral
12	"#covid19, #fauci: ""non torneremo alla normalità almeno per un anno. la soluzione vera è il #vaccino"". giusto il tempo che ci vuole per metterlo in commercio. "	 Neutral
13	mia nonna era medico e manco x 1 cavolo, si sarebbe   sottoposta al vaccino antinfluenzale! + invecchiava, e + era contraria. 	 Neutral
